Filename,Avg test R2
025_r2_grid_ABC_on_S0_summary.txt,0.8988
026_r2_grid_11_off_S0+L1_summary.txt,-1.3055
026_r2_grid_11_off_S0+PN1_summary.txt,-0.5775
026_r2_grid_11_off_S0+R1_summary.txt,0.0926
026_r2_grid_11_off_S0+S1_summary.txt,0.096
026_r2_grid_11_off_S0_summary.txt,0.096
027_r2_uplift_final_v3_S0_summary.txt,0.096
028_r2_uplift_final_v4_S0_summary.txt,0.1174
029_r2_uplift_final_v4_S0_summary.txt,0.1081
030_r2_uplift_final_v4_S0_summary.txt,0.1096
031_r2_uplift_final_v4_perm_S0_summary.txt,-0.5058
032_pass_t_plus_1_cross_summary.txt,0.2937
032_r2_uplift_final_v4_s0strict_S0_summary.txt,0.0145
033_r2_uplift_final_v4_XGB_S0_summary.txt,0.1096
033_r2_uplift_final_v4_s0strict_S0+TE2_summary.txt,0.1014
033_r2_uplift_final_v4_s0strict_S0_summary.txt,0.1096
034_r2_uplift_final_v4_XGB_perm_S0_summary.txt,-0.5058
034_r2_uplift_final_v4_s0strict_perm_S0+TE2_summary.txt,-0.6098
034_r2_uplift_final_v4_s0strict_perm_S0_summary.txt,-0.5058
035_r2_uplift_final_v4_RF_S0_summary.txt,0.1096
036_r2_uplift_final_v4_RF_perm_S0_summary.txt,-0.5058
037_r2_uplift_final_v4_ET_S0_summary.txt,0.1096
038_r2_uplift_final_v4_ET_perm_S0_summary.txt,-0.5058
039_r2_uplift_final_v4_HGB_S0_summary.txt,0.1096
040_r2_uplift_final_v4_HGB_perm_S0_summary.txt,-0.5058
041_r2_uplift_final_v4_GBR_S0_summary.txt,0.1096
042_pass_t_plus_1_cross_summary.txt,0.2043
042_r2_uplift_final_v4_GBR_perm_S0_summary.txt,-0.5058
043_r2_uplift_final_v4_ENET_S0_summary.txt,0.1096
044_pass_t_plus_1_cross_summary.txt,0.2043
044_r2_uplift_final_v4_ENET_perm_S0_summary.txt,-0.5058
045_pass_t_plus_1_cross_summary.txt,-0.0083
045_r2_uplift_final_v4_XGB_ADV_S0+TE2_summary.txt,0.1014
045_r2_uplift_final_v4_XGB_ADV_S0_summary.txt,0.1096
046_pass_t_plus_1_cross_summary.txt,0.2043
046_r2_uplift_final_v4_XGB_ADV_perm_S0+TE2_summary.txt,-0.6098
046_r2_uplift_final_v4_XGB_ADV_perm_S0_summary.txt,-0.5058
047_pass_t_plus_1_cross_summary.txt,0.1892
048_pass_t_plus_1_cross_summary.txt,0.1841
049_pass_t_plus_1_cross_summary.txt,0.2043
050_pass_t_plus_1_cross_summary.txt,-0.0083
051_pass_t_plus_1_cross_summary.txt,-0.0136
052_pass_t_plus_1_cross_summary.txt,-0.0866
053_pass_t_plus_1_cross_summary.txt,-0.0866
054_pass_t_plus_1_cross_summary.txt,-0.0367
055_pass_t_plus_1_cross_summary.txt,0.3151
056_pass_t_plus_1_cross_summary.txt,0.3151
057_pass_t_plus_1_cross_summary.txt,0.3151
058_pass_t_plus_1_cross_summary.txt,0.3151
059_pass_t_plus_1_cross_summary.txt,0.3151
060_pass_t_plus_1_cross_summary.txt,0.3151
061_pass_t_plus_1_cross_summary.txt,0.3151
062_pass_t_plus_1_cross_summary.txt,0.3354
063_pass_t_plus_1_cross_summary.txt,0.3354
064_pass_t_plus_1_cross_summary.txt,0.3354
065_pass_t_plus_1_cross_summary.txt,0.3354
066_pass_t_plus_1_cross_summary.txt,0.3354
067_pass_t_plus_1_cross_summary.txt,0.3354
068_pass_t_plus_1_cross_summary.txt,0.3354
069_pass_t_plus_1_cross_summary.txt,0.3354
070_pass_t_plus_1_cross_summary.txt,0.3354
071_pass_t_plus_1_cross_summary.txt,0.3354
072_pass_t_plus_1_cross_summary.txt,0.3354
073_pass_t_plus_1_cross_summary.txt,0.3151
074_pass_t_plus_1_cross_summary.txt,0.3151
075_pass_t_plus_1_cross_summary.txt,0.3151
076_pass_t_plus_1_cross_summary.txt,0.3151
077_pass_t_plus_1_cross_summary.txt,0.3151
078_pass_t_plus_1_cross_summary.txt,0.3151
079_pass_t_plus_1_cross_summary.txt,0.3151
080_pass_t_plus_1_cross_summary.txt,0.3151
081_pass_t_plus_1_cross_summary.txt,0.3151
082_pass_t_plus_1_cross_summary.txt,0.3151
083_pass_t_plus_1_cross_summary.txt,0.3354
084_pass_t_plus_1_cross_summary.txt,0.9142
085_pass_t_plus_1_cross_summary.txt,0.2313
086_pass_t_plus_1_cross_summary.txt,0.2313
087_pass_t_plus_1_cross_summary.txt,0.2313
088_pass_t_plus_1_cross_summary.txt,0.2313
089__V2_pass_t_plus_1_cross_summary.txt,0.2098
090_pass_t_plus_1_cross_summary.txt,0.1966
091_pass_t_plus_1_cross_summary.txt,0.2576
092_test_no_op_summary.txt,0.1966
093_test_summary.txt,0.2209
094_test_no_op_summary.txt,0.253
094_test_summary.txt,0.1852
095_test_no_op_summary.txt,0.0991
095_test_summary.txt,0.2552
096_test_no_op_summary.txt,0.1207
097_test_no_op_summary.txt,0.1248
098_test_no_op_summary.txt,0.1248
099_test_no_op_summary.txt,0.1962
100_test_no_op_summary.txt,0.1913
101_test_no_op_summary.txt,0.1054
101_test_summary.txt,0.0978
102_test_no_op_summary.txt,0.153
103_test_no_op_summary.txt,0.2529
103_test_summary.txt,0.1725
104_test_no_op_summary.txt,0.2529
104_test_summary.txt,0.1725
105_test_no_op_summary.txt,0.2529
105_test_summary.txt,0.1376
106_test_no_op_summary.txt,0.2529
107_test_no_op_summary.txt,0.2529
108_test_no_op_summary.txt,0.2529
109_test_no_op_summary.txt,0.2529
110_test_no_op_summary.txt,0.2529
111_test_no_op_summary.txt,0.2529
112_test_no_op_summary.txt,0.2529
113_test_no_op_summary.txt,0.2529
114_test_no_op_summary.txt,0.253
115_test_no_op_summary.txt,0.253
116_test_no_op_summary.txt,0.253
117_test_no_op_summary.txt,0.253
118_test_no_op_summary.txt,0.2623
119_test_summary.txt,0.0534
120_test_summary.txt,0.0644
121_test_summary.txt,0.0508
122_test_summary.txt,0.1006
123_test_summary.txt,0.0818
124_test_summary.txt,0.0928
125_test_summary.txt,0.0792
126_test_summary.txt,0.129
127_test_summary.txt,0.0566
128_test_summary.txt,0.0677
129_test_summary.txt,0.054
130_test_summary.txt,0.1038
131_test_summary.txt,0.1266
132_test_summary.txt,0.1376
133_test_summary.txt,0.1239
134_test_summary.txt,0.1738
135_test_summary.txt,0.1832
136_test_summary.txt,0.1882
137_test_summary.txt,0.0094
138_test_summary.txt,0.1832
139_test_summary.txt,0.1882
140_test_summary.txt,0.0094
141_test_summary.txt,0.1878
142_test_summary.txt,0.1882
143_test_summary.txt,0.0094
144_test_summary.txt,0.1878
145_test_summary.txt,-0.1035
146_test_summary.txt,0.1469
147_test_summary.txt,0.1442
148_test_summary.txt,-0.1036
149_test_summary.txt,0.1493
150_test_summary.txt,-0.1041
151_test_summary.txt,-0.1042
152_test_summary.txt,-0.2595
153_test_summary.txt,0.1832
154_test_summary.txt,0.0102
155_test_summary.txt,0.1823
156_test_summary.txt,-0.1043
