Filename,Avg test R2,.py Filename 1,Leak,Reason,.py Filename 2,Leak,Reason
012_r2_uplift_alias_v2_R1_summary.txt,0.7461,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
017_r2_uplift_final_v2_S0+DF1_summary.txt,0.7305,017_test.py,Y,181,017_test_no_op.py,Y,178
012_r2_uplift_alias_v2_S0+R1+W2_summary.txt,0.7245,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
022_r2_grid_11_off_S0+L1_summary.txt,0.7173,022_test_no_op.py,Y,213
024_r2_grid_ABC_off_S0+L1_summary.txt,0.7173,024_test_no_op.py,Y,213
020_r2_uplift_final_v2_S0+L1_summary.txt,0.6974,020_test_no_op.py,Y,168
020_r2_uplift_final_v2_S0+PN1_summary.txt,0.6758,020_test_no_op.py,Y,168
012_r2_uplift_alias_v2_W2_summary.txt,0.6744,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
019_r2_uplift_final_v2_S0_summary.txt,0.669,019_test_no_op.py,Y,167
012_r2_uplift_alias_v2_S0_summary.txt,0.6664,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
013_r2_uplift_alias_v2_S0_summary.txt,0.6664,013_003_r2_uplift_suite.py,Y,177,013_003_r2_uplift_suite_2.py,Y,177
013_r2_uplift_alias_v3_S0_summary.txt,0.6664,013_003_r2_uplift_suite.py,Y,177,013_003_r2_uplift_suite_2.py,Y,177
014_r2_leak_audit_S0+L1(lagON)_summary.txt,0.6664,014_003_r2_uplift_suite.py,Y,178,014_experiment.py,Y,127
017_r2_uplift_final_v2_S0+L1_summary.txt,0.6664,017_test.py,Y,181,017_test_no_op.py,Y,178
022_r2_grid_11_off_S0+PN1_summary.txt,0.663,022_test_no_op.py,Y,213
024_r2_grid_ABC_off_S0+PN1_summary.txt,0.663,024_test_no_op.py,Y,213
012_r2_uplift_alias_v2_TE2_summary.txt,0.6612,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
012_r2_uplift_alias_v2_S0+TE2+W2_summary.txt,0.6579,012_003_r2_uplift_suite.py,Y,174,012_003_r2_uplift_suite_2.py,Y,174
022_r2_grid_11_off_S0+X2E_MOE_summary.txt,0.5433,022_test_no_op.py,Y,213
024_r2_grid_ABC_off_S0+X2E_MOE_summary.txt,0.5433,024_test_no_op.py,Y,213
022_r2_grid_11_off_S0+X2E_YJ_summary.txt,0.5412,022_test_no_op.py,Y,213
024_r2_grid_ABC_off_S0+X2E_YJ_summary.txt,0.5412,024_test_no_op.py,Y,213
022_r2_grid_11_off_S0+X2E_RES_summary.txt,0.5398,022_test_no_op.py,Y,213
024_r2_grid_ABC_off_S0+X2E_RES_summary.txt,0.5398,024_test_no_op.py,Y,213
002_pass_t_plus_1_cross_summary.txt,0.4174,002_experiment.py,Y,126
003_pass_t_plus_1_cross_summary.txt,0.4174,003_experiment.py,Y,127
006_pass_t_plus_1_cross_summary.txt,0.4174,006_experiment.py,Y,134
007_pass_t_plus_1_cross_summary.txt,0.4174,007_experiment.py,Y,127
014_pass_t_plus_1_cross_summary.txt,0.4174,014_003_r2_uplift_suite.py,Y,178,014_experiment.py,Y,127
062_pass_t_plus_1_cross_summary.txt,0.3354,062_experiment.py,Y,130
063_pass_t_plus_1_cross_summary.txt,0.3354,063_experiment.py,Y,130
064_pass_t_plus_1_cross_summary.txt,0.3354,064_experiment.py,Y,130
065_pass_t_plus_1_cross_summary.txt,0.3354,065_experiment.py,Y,130
066_pass_t_plus_1_cross_summary.txt,0.3354,066_experiment.py,Y,130
067_pass_t_plus_1_cross_summary.txt,0.3354,067_experiment.py,Y,130
068_pass_t_plus_1_cross_summary.txt,0.3354,068_experiment.py,Y,130
069_pass_t_plus_1_cross_summary.txt,0.3354,069_experiment.py,Y,130
070_pass_t_plus_1_cross_summary.txt,0.3354,070_experiment.py,Y,130
071_pass_t_plus_1_cross_summary.txt,0.3354,071_experiment.py,Y,130
