run_label,DT,TE,W,RM,select_k,svr_C,svr_eps,svr_gamma,e2x_test_r2,x2e_test_r2,avg_test_r2,summary_path
svmgrid_20251119_143036__baseline_K60_C5_E0.1,0,0,0,0,60,5,0.1,scale,0.1635493126873384,0.16914367263154295,0.16634649265944068,reports/summaries/164_test_no_op_summary.txt
svmgrid_20251119_143036__dt_K60_C5_E0.1,1,0,0,0,60,5,0.1,scale,0.03574267421885036,0.11123069458985158,0.07348668440435097,reports/summaries/165_test_no_op_summary.txt
svmgrid_20251119_143036__te_K60_C5_E0.1,0,1,0,0,60,5,0.1,scale,0.1635493126873384,0.1743374769406385,0.16894339481398846,reports/summaries/166_test_no_op_summary.txt
svmgrid_20251119_143036__w_K60_C5_E0.1,0,0,1,0,60,5,0.1,scale,-0.0004912738799380811,-0.011491246556689205,-0.005991260218313643,reports/summaries/167_test_no_op_summary.txt
svmgrid_20251119_143036__rm_K60_C5_E0.1,0,0,0,1,60,5,0.1,scale,-0.005808418115238245,0.0773803435083622,0.03578596269656198,reports/summaries/168_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_K60_C5_E0.1,1,1,0,0,60,5,0.1,scale,0.03091222102381508,0.11353653478495185,0.07222437790438346,reports/summaries/169_test_no_op_summary.txt
svmgrid_20251119_143036__dt_w_K60_C5_E0.1,1,0,1,0,60,5,0.1,scale,-0.9689913440631666,-0.0936358776578603,-0.5313136108605134,reports/summaries/170_test_no_op_summary.txt
svmgrid_20251119_143036__te_w_K60_C5_E0.1,0,1,1,0,60,5,0.1,scale,-0.0004912738799380811,-0.011117002476473514,-0.005804138178205798,reports/summaries/171_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_w_K60_C5_E0.1,1,1,1,0,60,5,0.1,scale,-0.9677456035724932,-0.0934386556109632,-0.5305921295917282,reports/summaries/172_test_no_op_summary.txt
svmgrid_20251119_143036__all_on_K60_C5_E0.1,1,1,1,1,60,5,0.1,scale,-0.9613086675010276,-0.09437187023156057,-0.5278402688662941,reports/summaries/173_test_no_op_summary.txt
svmgrid_20251119_143036__baseline_K60_C5_E0.2,0,0,0,0,60,5,0.2,scale,0.1625813307762326,0.16928401430602824,0.16593267254113042,reports/summaries/174_test_no_op_summary.txt
svmgrid_20251119_143036__dt_K60_C5_E0.2,1,0,0,0,60,5,0.2,scale,0.035122379859578,0.11122408550309715,0.07317323268133757,reports/summaries/175_test_no_op_summary.txt
svmgrid_20251119_143036__te_K60_C5_E0.2,0,1,0,0,60,5,0.2,scale,0.1625813307762326,0.17475380026422338,0.168667565520228,reports/summaries/176_test_no_op_summary.txt
svmgrid_20251119_143036__w_K60_C5_E0.2,0,0,1,0,60,5,0.2,scale,-0.0009395346833176443,-0.011349801206319343,-0.006144667944818494,reports/summaries/177_test_no_op_summary.txt
svmgrid_20251119_143036__rm_K60_C5_E0.2,0,0,0,1,60,5,0.2,scale,-0.006885025041587278,0.07753907543594096,0.03532702519717684,reports/summaries/178_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_K60_C5_E0.2,1,1,0,0,60,5,0.2,scale,0.030175782431291598,0.11360546094106339,0.07189062168617749,reports/summaries/179_test_no_op_summary.txt
svmgrid_20251119_143036__dt_w_K60_C5_E0.2,1,0,1,0,60,5,0.2,scale,-0.9696186385823748,-0.09334846223940274,-0.5314835504108888,reports/summaries/180_test_no_op_summary.txt
svmgrid_20251119_143036__te_w_K60_C5_E0.2,0,1,1,0,60,5,0.2,scale,-0.0009395346833176443,-0.01087840514254057,-0.005908969912929107,reports/summaries/181_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_w_K60_C5_E0.2,1,1,1,0,60,5,0.2,scale,-0.9667740895123564,-0.09315827101921825,-0.5299661802657873,reports/summaries/182_test_no_op_summary.txt
